FILE_VERSION	2.0.0
NO_OF_FRAMES	3302
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.398	1774431887.39863491
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
149	0.47314	-0.0040	0.0056	-0.0135	-0.0046	-0.0075	-0.0042	-0.0028	0.0067	-0.0007	-0.0043	-0.0061	0.0008
150	0.48184	-0.0056	0.0056	-0.0090	-0.0076	-0.0075	-0.0007	-0.0021	0.0023	-0.0036	-0.0050	-0.0061	-0.0006
151	0.49278	-0.0027	0.0047	-0.0132	-0.0099	-0.0059	0.0014	-0.0029	-0.0012	-0.0028	-0.0044	-0.0047	0.0031
152	0.50148	0.0017	0.0088	-0.0145	-0.0068	-0.0067	-0.0072	-0.0014	0.0046	-0.0022	-0.0037	-0.0120	0.0011
153	0.51158	0.0051	0.0036	-0.0113	-0.0098	-0.0051	-0.0050	-0.0001	-0.0012	0.0015	0.0000	-0.0098	-0.0003
154	0.52206	0.0078	0.0063	-0.0075	-0.0042	-0.0035	0.0010	-0.0021	0.0017	-0.0052	-0.0007	-0.0098	-0.0010
155	0.53152	0.0049	0.0091	-0.0132	-0.0078	-0.0070	-0.0027	0.0015	0.0030	-0.0001	0.0015	-0.0099	-0.0045
156	0.54200	0.0033	0.0067	-0.0115	0.0000	0.0000	0.0000	-0.0036	0.0060	0.0027	-0.0013	-0.0040	-0.0031
157	0.55166	0.0010	0.0117	-0.0114	-0.0072	-0.0030	-0.0066	0.0030	0.0065	0.0020	0.0009	-0.0062	-0.0059
158	0.56180	0.0023	0.0137	-0.0082	0.0000	0.0000	0.0000	-0.0014	0.0021	-0.0017	-0.0013	-0.0011	-0.0045
159	0.57166	0.0064	0.0084	-0.0049	0.0005	-0.0115	-0.0004	0.0030	0.0027	-0.0025	0.0023	-0.0040	-0.0043
160	0.58170	0.0049	0.0104	-0.0091	-0.0061	-0.0056	-0.0005	0.0009	0.0033	-0.0018	-0.0029	-0.0091	-0.0035
161	0.59175	0.0025	0.0097	-0.0045	-0.0136	-0.0076	0.0024	0.0009	0.0054	-0.0041	-0.0029	-0.0053	0.0023
162	0.60170	0.0045	0.0080	-0.0056	-0.0063	-0.0074	-0.0015	-0.0020	0.0054	-0.0020	-0.0043	-0.0046	0.0001
163	0.61168	0.0029	0.0085	-0.0083	-0.0085	-0.0094	-0.0035	0.0003	0.0089	0.0001	-0.0043	-0.0046	-0.0013
164	0.62175	0.0049	0.0113	-0.0051	-0.0052	-0.0049	0.0011	-0.0049	0.0052	0.0000	-0.0014	-0.0082	-0.0033
165	0.63182	0.0002	0.0083	-0.0026	-0.0067	-0.0025	-0.0008	0.0010	0.0058	0.0021	-0.0029	-0.0082	-0.0011
